white_elo,black_elo,result,time_control,opening_moves
1416,1235,white,600+8,d4 g6 d5 e6 e4 exd5 exd5 Qe7+ Be2 Bg7
1457,1383,white,0+1,e4 d6 g3 Nd7 Bg2 Ne5 Nf3 g6 Nxe5 g5
1519,1379,black,300+3,e4 e5 Bc4 Nc6 Nc3 Nd4 Nge2 Bc5 Nxd4 Bxd4
1408,1548,white,300+5,e4 e5 Nf3 Nc6 Bc4 Bc5 c3 Nf6 d4 exd4
1521,1255,black,60+5,e4 e5 Nf3 Nf6 d3 Nc6 Bg5 Be7 c3 h6
1629,1570,white,120+0,d4 d5 Nf3 c5 h3 Nc6 dxc5 e5 Nc3 d4
1781,1759,draw,120+2,d4 d5 c4 c5 cxd5 Qxd5 e3 cxd4 Qxd4 Qxd4
1716,1862,black,60+0,e4 e5 Nf3 Nc6 Bc4 Bc5 c3 h6 O-O d6
1372,1466,black,0+1,Nf3 d6 e3 b6 Be2 Bb7 O-O Nc6 d3 Qd7
1228,1365,black,420+0,Nf3 Nc6 d4 d5 Nc3 f6 a3 e5 dxe5 fxe5
1658,2096,black,120+0,e4 e5 c3 Nc6 f3 d5 d3 f5 exf5 Bxf5
1590,1448,black,240+0,Nf3 d5 e3 Bf5 c4 e6 cxd5 exd5 Nc3 Nf6
1475,1363,black,0+1,e4 c6 g3 e6 Bg2 d6 Nf3 g6 O-O Nd7
1379,1460,white,0+1,Nf3 d6 Nd4 b6 Nb5 Bb7 c3 Nc6 Qa4 Qd7
1394,1592,black,300+5,e4 e5 d3 Nf6 f4 d6 f5 Nc6 a3 Be7
1380,1233,white,540+0,e4 e5 Nf3 Nf6 Bc4 Bc5 Nxe5 d5 exd5 Nxd5
1285,1510,white,300+8,e4 d5 e5 Nc6 d4 h6 b3 f5 Qh5+ Kd7
1869,1709,white,60+0,d4 Nf6 c4 c5 d5 b5 Nc3 b4 Nb1 d6
1537,1386,black,240+5,e4 e5 Qh5 Nc6 Bc4 g6 Qf3 Nf6 Qb3 Qe7
1767,1825,black,300+8,e4 e5 Nf3 Nc6 Bb5 a6 Bxc6 dxc6 O-O Bd6
1456,1384,white,0+1,d4 c6 e4 Qc7 g3 f6 Bg2 g6 e5 Bg7
1663,1779,black,480+1,e4 c5 Bc4 Nf6 e5 d5 exd6 exd6 Qe2+ Be7
1395,1424,black,300+5,e4 d5 exd5 Nf6 Nc3 Nxd5 Bc4 e6 d4 Bb4
1638,2098,black,120+0,d4 Nf6 g3 d5 Bg2 h5 Nf3 g6 a4 c6
1428,1215,white,420+0,e4 e5 Nf3 Nc6 Bb5 d6 Bxc6+ bxc6 d4 Bg4
1374,1465,black,0+1,e3 b6 e4 Bb7 f4 d6 f5 Bxe4 Nf3 Bxf3
1221,1387,black,540+0,e4 e5 Bc4 Nc6 Nf3 Nf6 Nc3 Bc5 O-O O-O
1897,1490,white,240+2,e4 Nf6 d3 e5 f4 d6 Nf3 exf4 Bxf4 Be7
1481,1572,black,240+0,Nf3 c5 e3 Nc6 c4 e6 b3 Nf6 Bb2 d5
1574,1490,black,0+1,d4 g6 c4 Bg7 Nc3 b6 e4 Bb7 Be3 a6
1875,1656,white,60+0,d4 g6 c4 Bg7 Nc3 c6 e4 Qc7 Nf3 d6
1264,1273,white,360+2,e4 e5 Nf3 Nc6 Nc3 Nf6 d3 d5 Bg5 d4
1641,1714,white,420+1,e4 e5 Nf3 d6 Bc4 Nf6 Nc3 c6 O-O Bg4
1505,1559,white,0+1,b3 c6 Bb2 d5 c3 Qc7 d3 e5 e3 Bd6
1559,1505,white,0+1,d4 e6 c4 g6 Nc3 Bg7 e4 b6 f3 Bb7
